index,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,timestamp,Air temperature [K]_roll_mean,Process temperature [K]_roll_mean,Rotational speed [rpm]_roll_mean,Torque [Nm]_roll_mean,Air temperature [K]_roll_std,Process temperature [K]_roll_std,Rotational speed [rpm]_roll_std,Torque [Nm]_roll_std,Air temperature [K]_roll_var,Process temperature [K]_roll_var,Rotational speed [rpm]_roll_var,Torque [Nm]_roll_var,Air temperature [K]_lag_1,Air temperature [K]_lag_5,Process temperature [K]_lag_1,Process temperature [K]_lag_5,Rotational speed [rpm]_lag_1,Rotational speed [rpm]_lag_5,Torque [Nm]_lag_1,Torque [Nm]_lag_5,Air temperature [K]_change,Process temperature [K]_change,Rotational speed [rpm]_change,Torque [Nm]_change
18,0,298.8,309.2,1306,54.5,50,0,2025-01-01 00:17:00,298.57000000000005,309.08000000000004,1526.3,40.1,0.14181364924143808,0.16865480854259585,192.12614490369495,11.207636285636292,0.020111111111173634,0.028444444444539665,36912.45555555559,125.61111111111128,298.7,298.6,309.2,309.1,1410.0,1339.0,45.6,51.1,0.10000000000002274,0.0,-104.0,8.899999999999999
19,2,298.9,309.3,1632,32.5,55,0,2025-01-01 00:18:00,298.63,309.14,1522.8,40.489999999999995,0.1418136492414695,0.11737877907823037,189.5801208519033,10.824298796894173,0.02011111111118254,0.013777777777896013,35940.62222222226,117.16544444444463,298.8,298.6,309.2,309.2,1306.0,1742.0,54.5,30.0,0.0999999999999659,0.10000000000002274,326.0,-22.0
20,0,298.9,309.3,1375,42.7,58,0,2025-01-01 00:19:00,298.66999999999996,309.17,1486.2,41.959999999999994,0.15670212364748007,0.1159501808734084,177.7337584391016,9.898170425779604,0.02455555555563013,0.013444444444576122,31589.288888888914,97.97377777777797,298.9,298.6,309.3,309.2,1632.0,1542.0,32.5,48.4,0.0,0.0,-257.0,10.200000000000003
21,1,298.8,309.3,1450,44.8,63,0,2025-01-01 00:20:00,298.71,309.21,1453.0,44.05,0.12866839377109626,0.0737864787382732,144.18121313896006,7.601059867617892,0.016555555555633882,0.005444444444593643,20788.22222222223,57.77611111111133,298.9,298.6,309.3,309.2,1375.0,1311.0,42.7,46.6,-0.0999999999999659,0.0,75.0,2.0999999999999943
22,2,298.9,309.3,1581,30.7,65,0,2025-01-01 00:21:00,298.74,309.23,1468.8,42.69,0.13498971154242317,0.06749485577223163,149.10160592323916,8.69002621144239,0.018222222222306614,0.00455555555571435,22231.288888888907,75.51655555555577,298.8,298.7,309.3,309.2,1450.0,1410.0,44.8,45.6,0.0999999999999659,0.0,131.0,-14.099999999999998
23,1,299.0,309.4,1758,25.7,68,0,2025-01-01 00:22:00,298.78000000000003,309.26,1510.7,40.15,0.14757295747485058,0.06992058987925431,166.43787629823538,9.620955138538896,0.02177777777787406,0.004888888889062881,27701.566666666706,92.56277777777798,298.9,298.8,309.3,309.2,1581.0,1306.0,30.7,54.5,0.10000000000002274,0.0999999999999659,177.0,-5.0
24,2,299.0,309.4,1561,37.3,70,0,2025-01-01 00:23:00,298.82,309.28000000000003,1492.6,40.88,0.1475729574748951,0.07888106377581977,147.22182809171574,9.023647944275222,0.021777777777887197,0.006222222222404946,21674.2666666667,81.42622222222244,299.0,298.9,309.4,309.3,1758.0,1632.0,25.7,32.5,0.0,0.0,-197.0,11.599999999999998
25,1,299.0,309.5,1861,23.3,73,0,2025-01-01 00:24:00,298.86,309.31000000000006,1524.5,38.37,0.1349897115425571,0.09944289260216328,188.0220140775484,10.123355833582732,0.01822222222234277,0.00988888888908538,35352.27777777781,102.48233333333354,299.0,298.9,309.4,309.3,1561.0,1375.0,37.3,42.7,0.0,0.10000000000002274,300.0,-13.999999999999996
26,1,299.1,309.5,1512,39.0,75,0,2025-01-01 00:25:00,298.90999999999997,309.34,1544.6,37.61,0.1197218999743405,0.10749676997829957,172.78901714068658,9.71384464451527,0.014333333333465993,0.011555555555767448,29856.04444444448,94.35877777777799,299.0,298.8,309.5,309.3,1861.0,1450.0,23.3,44.8,0.10000000000002274,0.0,-349.0,15.7
27,0,299.1,309.4,1811,24.6,77,0,2025-01-01 00:26:00,298.95,309.36,1584.7,35.51,0.10801234497411638,0.09660917830908225,184.23297448852347,10.058434824122056,0.011666666666807525,0.009333333333556048,33941.788888888936,101.1721111111113,299.1,298.9,309.5,309.3,1512.0,1581.0,39.0,30.7,0.0,-0.10000000000002274,299.0,-14.399999999999999
28,1,299.1,309.4,1439,44.2,82,0,2025-01-01 00:27:00,298.98,309.38,1598.0,34.480000000000004,0.10327955589957648,0.07888106377614944,165.7514873404025,8.265295585223273,0.010666666666813743,0.006222222222456954,27473.555555555606,68.31511111111132,299.1,299.0,309.4,309.4,1811.0,1758.0,24.6,25.7,0.0,0.0,-372.0,19.6
29,1,299.0,309.4,1693,30.1,84,0,2025-01-01 00:28:00,298.99,309.39,1604.1,34.239999999999995,0.09944289260192422,0.07378647873889711,168.24548863028838,8.363438952435255,0.009888888889037837,0.005444444444685715,28306.5444444445,69.94711111111131,299.1,299.0,309.4,309.4,1439.0,1561.0,44.2,37.3,-0.10000000000002274,0.0,254.0,-14.100000000000001
30,2,299.1,309.5,1339,48.2,86,0,2025-01-01 00:29:00,299.01,309.40999999999997,1600.5,34.79,0.09944289260194836,0.07378647873898227,173.9797242337293,9.127546828754772,0.009888888889042637,0.005444444444698283,30268.944444444503,83.3121111111113,299.0,299.0,309.4,309.5,1693.0,1861.0,30.1,23.3,0.10000000000002274,0.10000000000002274,-354.0,18.1
31,1,299.0,309.4,1798,25.5,89,0,2025-01-01 00:30:00,299.03000000000003,309.41999999999996,1635.3,32.86,0.06749485577223945,0.06324555320542298,175.33019642314284,8.810751008474451,0.004555555555715405,0.004000000000259989,30740.67777777785,77.62933333333355,299.1,299.1,309.5,309.5,1339.0,1512.0,48.2,39.0,-0.10000000000002274,-0.10000000000002274,459.0,-22.700000000000003
32,1,299.0,309.4,1419,48.3,91,0,2025-01-01 00:31:00,299.04,309.42999999999995,1619.1,34.62,0.05163977795100107,0.048304589156720444,187.93583420353298,10.007863574876184,0.0026666666668286963,0.0023333333335995546,35319.87777777784,100.15733333333353,299.0,299.1,309.4,309.4,1798.0,1811.0,25.5,24.6,0.0,0.0,-379.0,22.799999999999997
33,1,298.9,309.3,1665,32.5,93,0,2025-01-01 00:32:00,299.03000000000003,309.41999999999996,1609.8,35.3,0.06749485577222848,0.06324555320542298,182.52171864678962,9.555219632338254,0.004555555555713925,0.004000000000259989,33314.17777777783,91.30222222222241,299.0,299.1,309.4,309.4,1419.0,1439.0,48.3,44.2,-0.10000000000002274,-0.0999999999999659,246.0,-15.799999999999997
34,2,298.8,309.1,1559,34.7,95,0,2025-01-01 00:33:00,299.01,309.39,1609.6,35.04,0.09944289260192885,0.11972189997479585,182.58221892250822,9.530092689300922,0.009888888889038756,0.014333333333575024,33336.26666666672,90.82266666666686,298.9,299.0,309.3,309.4,1665.0,1693.0,32.5,30.1,-0.0999999999999659,-0.19999999999998863,-106.0,2.200000000000003
35,2,298.8,309.2,1452,48.6,98,0,2025-01-01 00:34:00,298.99,309.35999999999996,1568.7,37.57,0.11972189997437155,0.12649110640763084,164.96939110028873,9.42479590112051,0.014333333333473426,0.016000000000226586,27214.90000000002,88.82677777777795,298.8,299.1,309.1,309.5,1559.0,1339.0,34.7,48.2,0.0,0.0999999999999659,-107.0,13.899999999999999
36,2,298.9,309.2,1581,36.7,101,0,2025-01-01 00:35:00,298.97,309.33,1575.6,37.339999999999996,0.11595018087340239,0.1251665557043086,163.77301364999065,9.414079290556728,0.01344444444457473,0.015666666666879787,26821.600000000024,88.62488888888906,298.8,299.0,309.2,309.4,1452.0,1798.0,48.6,25.5,0.0999999999999659,0.0,129.0,-11.899999999999999
37,1,298.8,309.1,1439,39.2,104,0,2025-01-01 00:36:00,298.94,309.3,1538.4,38.800000000000004,0.11737877907822444,0.14142135623801994,145.60311351982372,8.282914140969158,0.01377777777789462,0.020000000000200937,21200.26666666667,68.60666666666684,298.9,299.0,309.2,309.4,1581.0,1419.0,36.7,48.3,-0.0999999999999659,-0.0999999999999659,-142.0,2.5
38,0,298.9,309.2,1379,50.7,106,0,2025-01-01 00:37:00,298.91999999999996,309.28000000000003,1532.4,39.45,0.10327955589939111,0.1398411797567173,151.2798730829716,8.979513721057886,0.010666666666775454,0.01955555555575052,22885.599999999995,80.63166666666683,298.8,298.9,309.1,309.3,1439.0,1665.0,39.2,32.5,0.0999999999999659,0.0999999999999659,-60.0,11.5
39,1,298.8,309.1,1350,52.5,111,0,2025-01-01 00:38:00,298.9,309.25,1498.1,41.690000000000005,0.10540925533942802,0.14337208778469504,149.697064470587,9.179621149287405,0.011111111111212733,0.020555555555742303,22409.211111111083,84.2654444444446,298.9,298.8,309.2,309.1,1379.0,1559.0,50.7,34.7,-0.0999999999999659,-0.0999999999999659,-29.0,1.7999999999999972
40,1,298.8,309.1,1362,45.4,113,0,2025-01-01 00:39:00,298.87,309.21,1500.4,41.410000000000004,0.08232726023541176,0.11972189997452698,147.13576497008913,8.999932098509296,0.006777777777869211,0.014333333333510643,21648.933333333305,80.99877777777793,298.8,298.8,309.1,309.2,1350.0,1452.0,52.5,48.6,0.0,0.0,12.0,-7.100000000000001
41,1,298.8,309.1,1368,50.8,115,0,2025-01-01 00:40:00,298.85,309.17999999999995,1457.4,43.940000000000005,0.07071067811926773,0.10327955589970332,108.17393401369824,7.453738808290933,0.005000000000086689,0.010666666666839943,11701.599999999942,55.55822222222235,298.8,298.9,309.1,309.2,1362.0,1581.0,45.4,36.7,0.0,0.0,6.0,5.399999999999999
42,2,298.8,309.1,1368,49.1,117,0,2025-01-01 00:41:00,298.83000000000004,309.15,1452.3,44.02,0.04830458915482536,0.07071067811986591,111.34136697562116,7.509815798895034,0.0023333333334164723,0.005000000000171282,12396.899999999941,56.39733333333346,298.8,298.8,309.1,309.1,1368.0,1439.0,50.8,39.2,0.0,0.0,0.0,-1.6999999999999957
43,0,298.8,309.2,1372,48.5,120,0,2025-01-01 00:42:00,298.82,309.14,1423.0,45.620000000000005,0.042163702136548735,0.051639777951081406,84.45511628472597,6.406038817657399,0.0017777777778596043,0.0026666666668369934,7132.666666666587,41.037333333333414,298.8,298.9,309.1,309.2,1368.0,1379.0,49.1,50.7,0.0,0.0999999999999659,4.0,-0.6000000000000014
44,2,298.8,309.1,1472,47.5,125,0,2025-01-01 00:43:00,298.82000000000005,309.14,1414.3,46.9,0.042163702136548735,0.051639777951081406,72.52746606171516,5.13419906119738,0.0017777777778596043,0.0026666666668369934,5260.233333333244,26.36000000000006,298.8,298.8,309.2,309.1,1372.0,1350.0,48.5,52.5,0.0,-0.0999999999999659,100.0,-1.0
45,1,298.8,309.1,1489,49.1,128,0,2025-01-01 00:44:00,298.82,309.13,1418.0,46.95,0.042163702136548735,0.04830458915572584,75.54542415733083,5.154986798129453,0.0017777777778596043,0.002333333333503466,5707.111111111024,26.57388888888895,298.8,298.8,309.1,309.1,1472.0,1362.0,47.5,45.4,0.0,0.0,17.0,1.6000000000000014
46,2,298.7,309.0,1843,25.8,130,0,2025-01-01 00:45:00,298.8,309.11,1444.2,45.86,0.04714045207993853,0.056764621221253295,148.53192698316835,7.955040330926471,0.002222222222300981,0.0032222222223923596,22061.733333333257,63.28266666666673,298.8,298.8,309.1,309.1,1489.0,1368.0,49.1,50.8,-0.10000000000002274,-0.10000000000002274,354.0,-23.3
47,1,298.8,309.1,1418,46.3,133,0,2025-01-01 00:46:00,298.8,309.11,1442.1,46.57,0.04714045207993853,0.056764621221253295,148.76189028107945,7.603661398738553,0.002222222222300981,0.0032222222223923596,22130.099999999922,57.81566666666673,298.7,298.8,309.0,309.1,1843.0,1368.0,25.8,49.1,0.10000000000002274,0.10000000000002274,-425.0,20.499999999999996
48,0,298.8,309.2,1425,53.9,135,0,2025-01-01 00:47:00,298.79,309.11,1446.7,46.89,0.0316227766029022,0.056764621221253295,147.29792183794618,7.859806330664618,0.0010000000000770588,0.0032222222223923596,21696.677777777702,61.77655555555561,298.8,298.8,309.1,309.2,1418.0,1372.0,46.3,48.5,0.0,0.0999999999999659,7.0,7.600000000000001
49,2,298.9,309.2,1412,44.1,140,0,2025-01-01 00:48:00,298.8,309.12,1452.9,46.05,0.04714045207993853,0.06324555320470839,144.0443218827684,7.63940806316534,0.002222222222300981,0.0040000000001696,20748.76666666659,58.36055555555561,298.8,298.8,309.2,309.1,1425.0,1472.0,53.9,47.5,0.0999999999999659,0.0,-13.0,-9.799999999999997
51,1,298.9,309.1,1383,54.9,145,0,2025-01-01 00:49:00,298.81000000000006,309.12,1455.0,47.0,0.056764621220464086,0.06324555320470839,142.71883781290606,8.124858973135066,0.0032222222223027615,0.0040000000001696,20368.666666666588,66.01333333333338,298.9,298.8,309.2,309.1,1412.0,1489.0,44.1,49.1,0.0,-0.0999999999999659,-29.0,10.799999999999997
52,0,298.8,309.0,1497,43.8,147,0,2025-01-01 00:50:00,298.81,309.11,1467.9,46.3,0.056764621220464086,0.07378647873841224,139.78113845103204,8.062395563492421,0.0032222222223027615,0.005444444444614161,19538.76666666659,65.00222222222227,298.9,298.7,309.1,309.0,1383.0,1843.0,54.9,25.8,-0.0999999999999659,-0.10000000000002274,114.0,-11.100000000000001
53,1,298.7,309.0,1565,35.1,152,0,2025-01-01 00:51:00,298.8,309.1,1487.6,44.9,0.06666666666724794,0.08164965809381577,138.00821231603064,8.711550442436247,0.004444444444521947,0.006666666666837016,19046.266666666586,75.89111111111116,298.8,298.8,309.0,309.1,1497.0,1418.0,43.8,46.3,-0.10000000000002274,0.0,68.0,-8.699999999999996
54,1,298.7,309.0,1691,30.1,154,0,2025-01-01 00:52:00,298.79,309.08000000000004,1519.5,43.059999999999995,0.0737864787377669,0.07888106377574912,145.0090035518865,9.748185016253599,0.005444444444518927,0.006222222222393801,21027.611111111033,95.02711111111117,298.7,298.8,309.0,309.2,1565.0,1425.0,35.1,53.9,0.0,0.0,126.0,-5.0
55,1,298.8,309.1,1512,40.7,156,0,2025-01-01 00:53:00,298.78999999999996,309.08000000000004,1523.5,42.379999999999995,0.0737864787377669,0.07888106377574912,144.10200862197865,9.640631606786862,0.005444444444518927,0.006222222222393801,20765.38888888881,92.94177777777783,298.7,298.9,309.0,309.2,1691.0,1412.0,30.1,44.1,0.10000000000002274,0.10000000000002274,-179.0,10.600000000000001
56,1,298.8,309.1,1477,42.4,158,0,2025-01-01 00:54:00,298.79,309.08000000000004,1522.3,41.71,0.0737864787377669,0.07888106377574912,144.47071983238962,9.350157455596376,0.005444444444518927,0.006222222222393801,20871.788888888812,87.4254444444445,298.8,298.9,309.1,309.1,1512.0,1383.0,40.7,54.9,0.0,0.0,-35.0,1.6999999999999957
57,1,298.8,309.1,1513,40.3,160,0,2025-01-01 00:55:00,298.8,309.09000000000003,1489.3,43.160000000000004,0.06666666666724794,0.07378647873841694,90.79531314384462,7.562069087815115,0.004444444444521947,0.005444444444614855,8243.788888888805,57.184888888888935,298.8,298.8,309.1,309.0,1477.0,1497.0,42.4,43.8,0.0,0.0,36.0,-2.1000000000000014
58,2,298.8,309.0,1661,29.5,162,0,2025-01-01 00:56:00,298.8,309.08,1513.6,41.48,0.06666666666724794,0.07888106377574912,101.48147066774706,8.584067929730185,0.004444444444521947,0.006222222222393801,10298.488888888807,73.68622222222228,298.8,298.7,309.1,309.0,1513.0,1565.0,40.3,35.1,0.0,-0.10000000000002274,148.0,-10.799999999999997
59,1,298.8,309.1,1378,54.4,165,0,2025-01-01 00:57:00,298.8,309.07000000000005,1508.9,41.53,0.06666666666724794,0.06749485577233695,106.98021623957666,8.665519154800956,0.004444444444521947,0.004555555555728567,11444.766666666583,75.09122222222229,298.8,298.7,309.0,309.0,1661.0,1691.0,29.5,30.1,0.0,0.10000000000002274,-283.0,24.9
60,1,298.8,309.1,1393,52.6,167,0,2025-01-01 00:58:00,298.79,309.06000000000006,1507.0,42.379999999999995,0.05676462122041179,0.05163977795112205,109.04127658827146,9.33652326439916,0.0032222222222968245,0.0026666666668411906,11889.999999999916,87.17066666666673,298.8,298.8,309.1,309.1,1378.0,1512.0,54.4,40.7,0.0,0.0,15.0,-1.7999999999999972
61,2,298.8,309.0,1592,38.2,169,0,2025-01-01 00:59:00,298.78,309.05,1527.9,40.71,0.04216370213642964,0.0527046276711376,102.46457382377976,8.282303758952315,0.0017777777778495618,0.0027777777779532434,10498.988888888813,68.59655555555564,298.8,298.8,309.1,309.1,1393.0,1477.0,52.6,42.4,0.0,-0.10000000000002274,199.0,-14.399999999999999
62,1,298.8,309.0,1829,22.9,172,0,2025-01-01 01:00:00,298.78000000000003,309.05,1561.1,38.62,0.04216370213642964,0.0527046276711376,138.71429470517987,9.895767894520482,0.0017777777778495618,0.0027777777779532434,19241.655555555488,97.92622222222234,298.8,298.8,309.0,309.1,1592.0,1513.0,38.2,40.3,0.0,0.0,237.0,-15.300000000000004
63,2,298.9,309.0,1812,25.9,174,0,2025-01-01 01:01:00,298.80000000000007,309.05,1585.8,37.7,0.04714045207992788,0.0527046276711376,159.86438697290325,10.657704568370564,0.002222222222299977,0.0027777777779532434,25556.62222222216,113.58666666666679,298.8,298.8,309.0,309.0,1829.0,1661.0,22.9,29.5,0.0999999999999659,0.0,-17.0,3.0
64,1,299.0,309.1,1523,38.6,177,0,2025-01-01 01:02:00,298.83000000000004,309.06,1569.0,38.55,0.06749485577169743,0.05163977795111382,156.36993175017852,10.317757077539246,0.004555555555642239,0.002666666666840341,24451.55555555549,106.45611111111123,298.9,298.8,309.0,309.1,1812.0,1378.0,25.9,54.4,0.10000000000002274,0.10000000000002274,-289.0,12.700000000000003
65,1,299.0,309.1,1394,45.1,179,0,2025-01-01 01:03:00,298.85,309.06,1557.2,38.99,0.08498365856041856,0.05163977795111382,165.34395127195356,10.511628481511961,0.007222222222313802,0.002666666666840341,27338.62222222215,110.49433333333344,299.0,298.8,309.1,309.1,1523.0,1393.0,38.6,52.6,0.0,0.0,-129.0,6.5
66,2,298.9,308.9,1679,28.7,181,0,2025-01-01 01:04:00,298.86,309.04,1577.4,37.62,0.08432740427171238,0.06992058987928396,166.79008763512678,10.903292061472897,0.007111111111204816,0.004888888889067027,27818.933333333272,118.8817777777779,299.0,298.8,309.1,309.0,1394.0,1592.0,45.1,38.2,-0.10000000000002274,-0.20000000000004547,285.0,-16.400000000000002
67,0,298.8,308.9,1466,44.1,184,0,2025-01-01 01:05:00,298.86,309.02000000000004,1572.7,38.0,0.08432740427171238,0.0788810637758159,169.44750088318062,11.071986673081259,0.007111111111204816,0.006222222222404335,28712.455555555494,122.58888888888902,298.9,298.8,308.9,309.0,1679.0,1829.0,28.7,22.9,-0.0999999999999659,0.0,-213.0,15.400000000000002
68,1,298.8,308.9,1527,32.4,189,0,2025-01-01 01:06:00,298.86,309.01000000000005,1559.3,38.29,0.08432740427171238,0.08755950357814887,166.9690922829064,10.86057600273168,0.007111111111204816,0.0076666666668518645,27878.67777777771,117.95211111111124,298.8,298.9,308.9,309.0,1466.0,1812.0,44.1,25.9,0.0,0.0,61.0,-11.700000000000003
69,1,298.9,309.0,1410,65.7,191,1,2025-01-01 01:07:00,298.87,309.0,1562.5,39.42,0.08232726023543896,0.08164965809391785,163.37635487833995,13.083390658048518,0.006777777777873689,0.006666666666853683,26691.83333333327,171.17511111111125,298.8,299.0,308.9,309.1,1527.0,1523.0,32.4,38.6,0.0999999999999659,0.10000000000002274,-117.0,33.300000000000004
71,1,298.9,309.1,1452,45.5,196,0,2025-01-01 01:08:00,298.88,309.0,1568.4,38.71,0.07888106377528399,0.08164965809391785,157.536027625429,12.466795899508428,0.006222222222320421,0.006666666666853683,24817.599999999933,155.42100000000016,298.9,299.0,309.0,309.1,1410.0,1394.0,65.7,45.1,0.0,0.10000000000002274,42.0,-20.200000000000003
72,1,298.9,309.1,1369,44.4,198,0,2025-01-01 01:09:00,298.89,309.01,1546.1,39.33,0.07378647873794751,0.08755950357814887,169.1773888227644,12.592153641587029,0.005444444444545581,0.0076666666668518645,28620.98888888881,158.56233333333347,298.9,298.9,309.1,308.9,1452.0,1679.0,45.5,28.7,0.0,0.0,-83.0,-1.1000000000000014
73,1,299.0,309.1,1592,35.0,200,0,2025-01-01 01:10:00,298.90999999999997,309.02,1522.4,40.54,0.07378647873798817,0.09189365834826564,139.06289544263342,11.35891231099567,0.005444444444551581,0.008444444444627771,19338.48888888879,129.024888888889,298.9,298.8,309.1,308.9,1369.0,1466.0,44.4,44.1,0.10000000000002274,0.0,223.0,-9.399999999999999
74,1,298.9,309.0,1601,32.3,202,0,2025-01-01 01:11:00,298.90999999999997,309.02,1501.3,41.18,0.07378647873798817,0.09189365834826564,101.05229669169599,10.597148463410129,0.005444444444551581,0.008444444444627771,10211.566666666551,112.29955555555567,299.0,298.8,309.1,308.9,1592.0,1527.0,35.0,32.4,-0.10000000000002274,-0.10000000000002274,9.0,-2.700000000000003
75,1,298.8,308.9,1379,46.7,204,0,2025-01-01 01:12:00,298.89,309.0,1486.9,41.989999999999995,0.07378647873794751,0.09428090415920458,107.66042293557337,10.687214583583303,0.005444444444545581,0.00888888888907712,11590.766666666532,114.21655555555566,298.9,298.9,309.0,309.0,1601.0,1410.0,32.3,65.7,-0.0999999999999659,-0.10000000000002274,-222.0,14.400000000000006
76,1,298.8,308.9,1461,47.9,206,0,2025-01-01 01:13:00,298.87,308.98,1493.6,42.269999999999996,0.0674948557717605,0.09189365834831482,103.23027118480685,10.81367960810134,0.00455555555565075,0.00844444444463681,10656.488888888764,116.93566666666678,298.8,298.9,308.9,309.1,1379.0,1452.0,46.7,45.5,0.0,0.0,82.0,1.1999999999999957
77,1,298.8,308.9,1455,41.3,208,1,2025-01-01 01:14:00,298.86,308.98,1471.2,43.529999999999994,0.06992058987867507,0.09189365834831482,80.28255656672086,9.737333652836732,0.004888888888981878,0.00844444444463681,6445.288888888735,94.81566666666674,298.8,298.9,308.9,309.1,1461.0,1369.0,47.9,44.4,0.0,0.0,-6.0,-6.600000000000001
78,1,298.8,308.9,1398,51.5,0,0,2025-01-01 01:15:00,298.86,308.97999999999996,1464.4,44.269999999999996,0.06992058987867507,0.09189365834831482,83.58388999482199,10.061262346246622,0.004888888888981878,0.00844444444463681,6986.266666666504,101.22900000000007,298.8,299.0,308.9,309.1,1455.0,1592.0,41.3,35.0,0.0,0.0,-57.0,10.200000000000003
